F_A6,F_B6,F_C6,F_D6,F_E6,F_F6,F_G6,F_H6,F_I6,F_J6
1999.9599609375,3946.919921875,2854.97998046875,2052.340087890625,2121.739990234375,4305.919921875,1995.1400146484373,4468.080078125,2675.8798828125,2022.4000244140625
2003.6800537109373,3959.1201171875,2869.840087890625,2055.179931640625,2118.43994140625,4335.60009765625,1989.5400390625,4485.2998046875,2677.760009765625,2014.0
2009.8199462890625,3964.080078125,2862.739990234375,2061.199951171875,2123.699951171875,4333.0400390625,1998.760009765625,4479.080078125,2682.580078125,2020.3399658203125
2009.739990234375,3974.5,2868.97998046875,2060.679931640625,2139.9599609375,4321.64013671875,2007.760009765625,4509.97998046875,2687.659912109375,2034.52001953125
2012.0999755859373,3965.199951171875,2872.320068359375,2056.43994140625,2132.47998046875,4331.259765625,2002.0,4501.0400390625,2678.300048828125,2028.56005859375
2011.06005859375,3967.0400390625,2886.699951171875,2069.260009765625,2135.820068359375,4334.0400390625,2007.5,4489.52001953125,2702.659912109375,2024.8399658203125
2021.4000244140625,3998.179931640625,2895.340087890625,2071.340087890625,2147.93994140625,4370.4599609375,2016.06005859375,4526.56005859375,2690.320068359375,2024.0400390625
2012.1800537109373,3971.760009765625,2881.280029296875,2066.320068359375,2133.60009765625,4354.68017578125,2018.1800537109373,4481.919921875,2673.800048828125,2028.239990234375
2045.239990234375,4012.5400390625,2915.840087890625,2070.39990234375,2159.43994140625,4413.16015625,2030.1800537109373,4575.0,2725.8798828125,2041.4599609375
2030.4599609375,4004.679931640625,2920.159912109375,2094.89990234375,2169.8798828125,4427.31982421875,2022.199951171875,4552.31982421875,2729.60009765625,2026.5400390625
2039.8199462890625,4066.89990234375,2939.780029296875,2077.93994140625,2169.0400390625,4462.080078125,2043.02001953125,4575.77978515625,2747.739990234375,2055.06005859375
2068.280029296875,4075.02001953125,2944.659912109375,2109.8798828125,2185.0,4489.35986328125,2056.5,4614.72021484375,2758.9599609375,2065.1201171875
2058.97998046875,4108.5,2964.760009765625,2123.580078125,2194.6201171875,4511.2998046875,2064.89990234375,4639.72021484375,2771.60009765625,2076.9599609375
2087.580078125,4114.7998046875,2975.419921875,2130.679931640625,2205.60009765625,4541.33984375,2073.800048828125,4668.0,2779.800048828125,2086.360107421875
2100.760009765625,4146.759765625,3000.419921875,2151.8798828125,2224.659912109375,4622.8798828125,2088.699951171875,4714.35986328125,2798.360107421875,2099.280029296875
2112.139892578125,4163.2001953125,3017.5,2158.4599609375,2229.419921875,4635.4599609375,2084.860107421875,4714.83984375,2819.800048828125,2116.659912109375
2125.52001953125,4207.10009765625,3052.860107421875,2186.179931640625,2257.919921875,4671.06005859375,2115.419921875,4780.2998046875,2829.300048828125,2130.3798828125
2130.139892578125,4232.35986328125,3057.4599609375,2175.800048828125,2255.47998046875,4706.0,2126.340087890625,4787.5400390625,2851.93994140625,2137.919921875
2135.47998046875,4263.1201171875,3083.60009765625,2182.52001953125,2263.919921875,4720.81982421875,2126.89990234375,4803.2998046875,2858.659912109375,2127.179931640625
