Sample,N_A7,N_A8,N_A9,N_A10,N_A11,N_A12,N_A13,N_A14,N_A15,N_A16,N_B7,N_B8,N_B9,N_B10,N_B11,N_B12,N_B13,N_B14,N_B15,N_B16,N_C7,N_C8,N_C9,N_C10,N_C11,N_C12,N_C13,N_C14,N_C15,N_C16,N_D7,N_D8,N_D9,N_D10,N_D11,N_D12,N_D13,N_D14,N_D15,N_D16,N_E7,N_E8,N_E9,N_E10,N_E11,N_E12,N_E13,N_E14,N_E15,N_E16,N_F7,N_F8,N_F9,N_F10,N_F11,N_F12,N_F13,N_F14,N_F15,N_F16,N_G7,N_G8,N_G9,N_G10,N_G11,N_G12,N_G13,N_G14,N_G15,N_G16,N_H7,N_H8,N_H9,N_H10,N_H11,N_H12,N_H13,N_H14,N_H15,N_H16,N_I7,N_I8,N_I9,N_I10,N_I11,N_I12,N_I13,N_I14,N_I15,N_I16,N_J7,N_J8,N_J9,N_J10,N_J11,N_J12,N_J13,N_J14,N_J15,N_J16
GLY,0,0,0,0,0,0,40.93488159,50.48635396,0,0,0,50.03063807,34.90509633,14.29446802,0,0,32.92588302,41.57699738,54.0925221,0,0,50.03063807,34.90509633,14.29446802,0,0,34.42251407,43.27401768,56.09594885,0,0,50.03063807,34.90509633,14.29446802,0,0,36.0616814,45.11546524,58.25348534,0,0,50.03063807,34.90509633,14.29446802,0,0,37.86476547,47.12059703,60.58362476,0,0,50.03063807,34.90509633,14.29446802,0,0,39.85764787,49.31225271,63.10794246,0,0,50.03063807,34.90509633,14.29446802,0,0,42.07196164,51.71772845,65.85176604,0,0,50.03063807,34.90509633,14.29446802,0,0,44.54678291,54.36991965,68.84502813,0,0,50.03063807,34.90509633,14.29446802,0,0,47.33095684,57.30883423,72.12336281,0,100.0612761,77.825437,60.03676569,27.28943895,0,18.93238274,43.27401768,57.30883423,75.72953095,0
BUT,0,0,0,0,0,0,0,0,0,0,0,62.28077998,60.83238975,62.28077998,87.19309197,0,56.86505998,51.2900541,46.71058498,65.39481898,0,56.05270198,54.74915077,56.05270198,81.17977528,0,53.50485189,48.04517313,43.59654598,60.36444829,0,49.82462398,48.6659118,49.82462398,74.73693597,0,49.82462398,44.52413207,40.24296552,55.06932124,0,43.59654598,42.58267282,43.59654598,67.81684931,0,45.77637328,40.69010959,36.62109863,49.48797112,0,37.36846799,36.49943385,37.36846799,60.36444829,0,41.30199093,36.49943385,32.69740949,43.59654598,0,31.14038999,30.41619487,31.14038999,52.31585518,0,36.33045499,31.8999117,28.43252999,37.36846799,0,24.91231199,24.3329559,24.91231199,43.59654598,0,30.77403246,26.82864368,23.77993417,30.77403246,0,18.68423399,18.24971692,18.68423399,34.11903599,0,24.52305712,21.20913048,18.68423399,23.77993417,0,0,0,0,23.77993417,0,0,0,0,16.34870474
GLU,27.53801125,0,0,0,0,75.72953095,0,0,0,0,39.51105962,21.63700884,21.13382259,21.63700884,0,69.90418241,59.26658944,53.45613949,48.68326989,0,50.48635396,28.84934512,28.17843012,28.84934512,0,63.77223659,55.07602251,49.45602021,44.87675908,0,60.58362476,36.0616814,35.22303765,36.0616814,0,57.30883423,50.48635396,45.11546524,40.77743974,0,69.90418241,43.27401768,42.26764518,43.27401768,0,50.48635396,45.43771857,40.38908317,36.35017485,0,78.53432839,50.48635396,49.31225271,50.48635396,0,43.27401768,39.85764787,35.22303765,31.55397123,0,86.54803537,57.69869024,56.35686024,57.69869024,0,35.63742633,33.65756931,29.55298769,26.34070642,0,94.0090729,64.91102653,63.40146777,64.91102653,0,27.53801125,26.72806975,23.30139414,20.65350844,0,100.9727079,72.12336281,70.4460753,72.12336281,0,18.93238274,18.93238274,16.37395264,14.42467256,0,0,0,0,0,0,0,0,0,0,0
