SAMPLE,F_A1,F_A2,F_A3,F_A4,F_A5,F_A7,F_A8,F_A9,F_A10,F_A11,F_B1,F_B2,F_B3,F_B4,F_B5,F_B7,F_B8,F_B9,F_B10,F_B11,F_C1,F_C2,F_C3,F_C4,F_C5,F_C7,F_C8,F_C9,F_C10,F_C11,F_D1,F_D2,F_D3,F_D4,F_D5,F_D7,F_D8,F_D9,F_D10,F_D11,F_E1,F_E2,F_E3,F_E4,F_E5,F_E7,F_E8,F_E9,F_E10,F_F1,F_F2,F_F3,F_F4,F_F5,F_F7,F_F8,F_F9,F_F10,F_F11,F_G1,F_G2,F_G3,F_G4,F_G5,F_G7,F_G8,F_G9,F_G10,F_G11,F_H1,F_H2,F_H3,F_H4,F_H5,F_H7,F_H8,F_H9,F_H10,F_H11,F_I1,F_I2,F_I3,F_I4,F_I5,F_I7,F_I8,F_I9,F_I10,F_I11,F_J1,F_J2,F_J3,F_J4,F_J5,F_J7,F_J8,F_J9,F_J10,F_J11
GLY,0.601181675,1.502954189,3.005908377,4.508862566,5.410635079,5.465287958,5.465287958,4.809453403,4.453197596,4.007877836,0.293815005,0.734537513,1.469075026,2.203612538,2.644335046,2.554913088,51.42975714,36.27167775,15.69358709,1.958766701,0.123636383,0.309090957,0.618181914,0.927272871,1.112727445,1.03030319,50.61938275,35.48014927,14.8832127,0.852664709,-0.030952381,-0.077380953,-0.154761905,-0.232142858,-0.278571429,-0.247619048,49.88324578,34.76113177,14.14707573,-0.221088436,1.126537438,2.816343595,5.63268719,8.449030785,10.13883694,8.6656726,55.39510206,40.14480534,19.65893201,0.360518704,0.901296759,1.802593518,2.703890277,3.244668332,2.670508916,51.7473938,36.58192751,16.01122375,2.773220797,0.378970431,0.947426077,1.894852154,2.84227823,3.410733876,2.706931648,51.83525917,36.66774949,16.09908912,3.031763446,0.664971224,1.662428059,3.324856118,4.987284177,5.984741012,4.586008439,53.19716771,37.99798574,17.46099766,5.541426863,0.222903677,0.557259193,1.114518386,1.671777578,2.006133094,1.486024514,51.09208415,35.94185762,15.3559141,1.938292844,0.894683125,2.236707811,4.473415623,6.710123434,8.052148121,106.0258303,84.4527194,67.19423068,35.4229219,8.13348295
BUT,2.680909,6.7022725,13.404545,20.1068175,24.128181,24.3719,24.3719,21.447272,19.85858519,17.87272667,2.223011,5.5575275,11.115055,16.6725825,20.007099,19.33053043,72.86654664,71.17197579,72.86654664,102.0131653,2.626218,6.565545,13.13109,19.696635,23.635962,21.88515,68.55850198,66.96411821,68.55850198,99.29162356,2.182159,5.4553975,10.910795,16.3661925,19.639431,17.457272,60.21585732,58.81548854,60.21585732,90.32378597,4.810749,12.0268725,24.053745,36.0806175,43.296741,37.00576154,66.50487456,64.95824957,66.50487456,2.590916,6.47729,12.95458,19.43187,23.318244,19.19197037,49.70616322,48.55020594,49.70616322,80.29457136,2.33052,5.8263,11.6526,17.4789,20.97468,16.64657143,42.23810427,41.25582278,42.23810427,70.96001518,2.171587,5.4289675,10.857935,16.2869025,19.544283,14.97646207,35.25320247,34.43336055,35.25320247,61.69310432,2.481893,6.2047325,12.409465,18.6141975,22.337037,16.54595333,30.50277209,29.7934053,30.50277209,55.70071425,2.191971,5.4799275,10.959855,16.4397825,19.727739,14.61314,16.23682222,17.535768,19.92700909,43.70694326
GLU,1.420262361,3.550655903,7.101311805,10.65196771,12.78236125,40.44948726,12.91147601,11.36209889,10.52046193,9.46841574,0.637076023,1.592690058,3.185380117,4.778070175,5.73368421,45.05085113,24.67070419,24.09696688,24.67070419,4.247173489,1.295269823,3.238174558,6.476349115,9.714523673,11.65742841,61.28026916,35.01729666,34.20294092,35.01729666,8.932895331,2.018680729,5.046701823,10.09340365,15.14010547,18.16812656,76.73307059,45.67444678,44.61225034,45.67444678,14.41914806,2.98457619,7.461440475,14.92288095,22.38432143,26.86118571,92.8624608,57.48628526,56.1493949,57.48628526,1.174449101,2.936122753,5.872245505,8.808368258,10.57004191,87.23395136,56.07896873,54.77480667,56.07896873,9.034223854,1.093502672,2.73375668,5.46751336,8.20127004,9.841524048,94.35876874,62.90584583,61.44291918,62.90584583,8.748021376,4.056927891,10.14231973,20.28463946,30.42695918,36.51235102,121.9878859,84.22973077,82.27089982,84.22973077,33.80773243,1.489640456,3.72410114,7.44820228,11.17230342,13.4067641,110.9036443,79.21688879,77.37463556,79.21688879,12.95339527,1.78155185,4.453879625,8.90775925,13.36163888,16.03396665,11.87701233,13.19668037,14.2524148,16.19592591,16.19592591
